bin,services,overflows,mean_service_interval,median_service_interval,mean_latency_to_overflow,median_latency_to_overflow
0,1,2,,,203,203
1,0,1,,,,
2,1,2,,,198,198
3,1,2,,,180,180
4,0,1,,,,
5,2,3,997,997,192.5,192.5
6,2,3,921,921,201,201.0
7,1,2,,,199,199
8,0,1,,,,
9,3,3,636.5,636.5,213.33333333333334,194
10,3,3,508,508.0,221,211
11,1,2,,,208,208
12,1,2,,,219,219
13,1,2,,,62,62
14,0,1,,,,
15,1,2,,,103,103
16,0,1,,,,
17,0,1,,,,
18,0,1,,,,
19,1,2,,,209,209
20,3,3,531.5,531.5,227.66666666666666,210
21,2,3,1283,1283,198.5,198.5
22,2,2,69,69,234.5,234.5
23,3,2,711,711.0,208.66666666666666,195
24,0,1,,,,
25,1,2,,,187,187
26,0,1,,,,
27,0,1,,,,
28,0,1,,,,
29,2,1,46,46,201,201.0
30,3,3,564,564.0,211.66666666666666,206
31,2,3,860,860,234,234.0
32,1,2,,,185,185
33,1,2,,,110,110
34,3,3,624,624.0,231.33333333333334,206
35,2,2,80,80,220,220.0
