episode,phase,steps,pickup_amount,pickup_events,overflows,dumps,km,reward,metric,ma,epsilon_avg,elapsed_sec,run
1,train,1500,3920,58,41,14,11.49,-400.00,2613.33,,0.800,1.9,base_h256_lr5e4_decay997
2,train,1500,4060,59,41,13,11.51,-388.00,2706.67,,0.800,2.4,base_h256_lr5e4_decay997
3,train,1500,3962,54,41,13,11.55,-397.80,2641.33,,0.800,2.9,base_h256_lr5e4_decay997
4,train,1500,4019,52,40,17,11.58,-364.10,2679.33,,0.800,3.4,base_h256_lr5e4_decay997
5,train,1500,4167,53,45,14,11.55,-455.30,2778.00,2683.73,0.800,3.8,base_h256_lr5e4_decay997
6,train,1500,4249,54,43,16,11.53,-403.10,2832.67,2727.60,0.800,4.3,base_h256_lr5e4_decay997
7,train,1500,4208,55,42,16,11.47,-387.20,2805.33,2747.33,0.800,4.7,base_h256_lr5e4_decay997
8,train,1500,4519,58,45,16,11.51,-416.10,3012.67,2821.60,0.800,5.1,base_h256_lr5e4_decay997
9,train,1500,4228,53,44,15,11.58,-427.20,2818.67,2849.47,0.800,5.6,base_h256_lr5e4_decay997
10,train,1500,3885,51,41,16,11.51,-399.50,2590.00,2811.87,0.800,6.1,base_h256_lr5e4_decay997
11,train,1500,3919,53,42,16,11.53,-416.10,2612.67,2767.87,0.800,6.5,base_h256_lr5e4_decay997
12,train,1500,3794,52,43,14,11.47,-452.60,2529.33,2712.67,0.800,7.0,base_h256_lr5e4_decay997
13,train,1500,4138,50,42,20,11.56,-386.20,2758.67,2661.87,0.800,7.4,base_h256_lr5e4_decay997
14,train,1500,3905,54,42,16,11.55,-417.50,2603.33,2618.80,0.800,7.8,base_h256_lr5e4_decay997
15,train,1500,4181,55,42,16,11.58,-389.90,2787.33,2658.27,0.800,8.3,base_h256_lr5e4_decay997
16,train,1500,3813,51,43,14,10.86,-450.70,2542.00,2644.13,0.800,8.7,base_h256_lr5e4_decay997
17,train,1500,4101,57,44,15,11.51,-439.90,2734.00,2685.07,0.800,9.3,base_h256_lr5e4_decay997
18,train,1500,4165,55,43,17,11.50,-409.50,2776.67,2688.67,0.800,9.8,base_h256_lr5e4_decay997
19,train,1500,4065,50,42,15,11.46,-403.50,2710.00,2710.00,0.800,10.5,base_h256_lr5e4_decay997
20,train,1500,4172,57,41,12,11.53,-378.80,2781.33,2708.80,0.800,11.0,base_h256_lr5e4_decay997
21,train,1500,4310,53,45,18,11.54,-433.00,2873.33,2775.07,0.800,11.4,base_h256_lr5e4_decay997
22,train,1500,4255,54,45,15,11.48,-444.50,2836.67,2795.60,0.800,11.8,base_h256_lr5e4_decay997
23,train,1500,4262,53,45,16,11.54,-441.80,2841.33,2808.53,0.800,12.2,base_h256_lr5e4_decay997
24,train,1500,4119,56,45,13,11.53,-462.10,2746.00,2815.73,0.800,12.7,base_h256_lr5e4_decay997
25,train,1500,4186,55,41,15,11.54,-371.40,2790.67,2817.60,0.800,13.2,base_h256_lr5e4_decay997
episode,phase,steps,pickup_amount,pickup_events,overflows,dumps,km,reward,metric,ma,epsilon_avg,elapsed_sec,run
1,train,1500,3928,54,42,15,11.45,-417.20,2618.67,,0.800,0.5,prio_h256_lr5e4_decay997
2,train,1500,3954,56,41,13,11.50,-398.60,2636.00,,0.800,1.1,prio_h256_lr5e4_decay997
3,train,1500,3880,52,39,13,11.54,-366.00,2586.67,,0.800,1.5,prio_h256_lr5e4_decay997
4,train,1500,3985,52,41,14,11.60,-393.50,2656.67,,0.800,1.9,prio_h256_lr5e4_decay997
5,train,1500,4046,54,42,16,11.46,-403.40,2697.33,2639.07,0.800,2.4,prio_h256_lr5e4_decay997
6,train,1500,4147,52,45,13,11.59,-459.30,2764.67,2668.27,0.800,2.8,prio_h256_lr5e4_decay997
7,train,1500,4006,52,41,16,11.55,-387.40,2670.67,2675.20,0.800,3.4,prio_h256_lr5e4_decay997
8,train,1500,1677,21,27,6,4.89,-360.30,1118.00,2381.47,0.800,3.8,prio_h256_lr5e4_decay997
9,train,1500,4006,51,41,16,11.58,-387.40,2670.67,2384.27,0.800,4.3,prio_h256_lr5e4_decay997
10,train,1500,4152,54,41,14,11.60,-376.80,2768.00,2398.40,0.800,4.7,prio_h256_lr5e4_decay997
11,train,1500,4277,54,45,14,11.62,-444.30,2851.33,2415.73,0.800,5.2,prio_h256_lr5e4_decay997
12,train,1500,4158,55,39,14,11.35,-336.20,2772.00,2436.00,0.800,5.7,prio_h256_lr5e4_decay997
13,train,1500,3635,49,36,15,11.44,-326.50,2423.33,2697.07,0.800,6.2,prio_h256_lr5e4_decay997
14,train,1500,853,13,18,3,2.65,-268.70,568.67,2276.67,0.800,6.6,prio_h256_lr5e4_decay997
15,train,1500,3727,52,39,13,11.49,-381.30,2484.67,2220.00,0.800,7.0,prio_h256_lr5e4_decay997
16,train,1500,3475,49,38,17,11.55,-378.50,2316.67,2113.07,0.800,7.6,prio_h256_lr5e4_decay997
17,train,1500,4023,53,40,14,11.47,-369.70,2682.00,2095.07,0.800,8.0,prio_h256_lr5e4_decay997
18,train,1500,3797,48,37,14,11.47,-332.30,2531.33,2116.67,0.800,8.5,prio_h256_lr5e4_decay997
19,train,1500,4255,61,43,13,11.55,-408.50,2836.67,2570.27,0.800,9.0,prio_h256_lr5e4_decay997
20,train,1500,3826,53,42,17,11.53,-423.40,2550.67,2583.47,0.800,9.5,prio_h256_lr5e4_decay997
21,train,1500,4087,56,41,11,11.52,-389.30,2724.67,2665.07,0.800,9.9,prio_h256_lr5e4_decay997
22,train,1500,3857,52,40,14,11.54,-386.30,2571.33,2642.93,0.800,10.4,prio_h256_lr5e4_decay997
23,train,1500,3770,49,40,14,11.44,-395.00,2513.33,2639.33,0.800,10.9,prio_h256_lr5e4_decay997
24,train,1500,4223,58,42,13,11.61,-391.70,2815.33,2635.07,0.800,11.4,prio_h256_lr5e4_decay997
25,train,1500,3674,53,42,13,11.54,-446.60,2449.33,2614.80,0.800,12.0,prio_h256_lr5e4_decay997
episode,phase,steps,pickup_amount,pickup_events,overflows,dumps,km,reward,metric,ma,epsilon_avg,elapsed_sec,run
1,train,1500,3805,51,40,15,11.53,-389.50,2536.67,,0.800,0.5,fast_decay_h256_lr5e4
2,train,1500,4148,51,42,17,11.42,-391.20,2765.33,,0.800,1.0,fast_decay_h256_lr5e4
3,train,1500,4436,56,44,15,11.56,-406.40,2957.33,,0.800,1.5,fast_decay_h256_lr5e4
4,train,1500,3954,56,42,14,11.56,-416.60,2636.00,,0.800,2.0,fast_decay_h256_lr5e4
5,train,1500,4003,51,42,15,11.52,-409.70,2668.67,2712.80,0.800,2.5,fast_decay_h256_lr5e4
6,train,1500,4110,56,44,11,11.54,-447.00,2740.00,2753.47,0.800,3.0,fast_decay_h256_lr5e4
7,train,1500,4584,58,44,16,11.56,-389.60,3056.00,2811.60,0.800,3.5,fast_decay_h256_lr5e4
8,train,1500,4225,55,44,16,11.55,-425.50,2816.67,2783.47,0.800,4.0,fast_decay_h256_lr5e4
9,train,1500,1395,18,22,4,3.99,-292.50,930.00,2442.27,0.800,4.5,fast_decay_h256_lr5e4
10,train,1500,4238,55,40,14,11.53,-348.20,2825.33,2473.60,0.800,4.9,fast_decay_h256_lr5e4
11,train,1500,4345,54,43,16,11.55,-393.50,2896.67,2504.93,0.800,5.3,fast_decay_h256_lr5e4
12,train,1500,4086,51,45,15,11.59,-461.40,2724.00,2438.53,0.800,5.7,fast_decay_h256_lr5e4
13,train,1500,3881,50,39,18,11.57,-355.90,2587.33,2392.67,0.800,6.3,fast_decay_h256_lr5e4
14,train,1500,4085,57,45,13,11.58,-465.50,2723.33,2751.33,0.800,6.7,fast_decay_h256_lr5e4
15,train,1500,4122,56,43,13,11.52,-421.80,2748.00,2735.87,0.800,7.1,fast_decay_h256_lr5e4
16,train,1500,4280,60,44,15,11.53,-422.00,2853.33,2727.20,0.800,7.5,fast_decay_h256_lr5e4
17,train,1500,4062,52,42,17,11.57,-399.80,2708.00,2724.00,0.800,8.0,fast_decay_h256_lr5e4
18,train,1500,3845,55,38,14,11.42,-347.50,2563.33,2719.20,0.800,8.4,fast_decay_h256_lr5e4
19,train,1500,4171,53,44,15,11.52,-432.90,2780.67,2730.67,0.800,8.9,fast_decay_h256_lr5e4
20,train,1500,4114,54,43,15,11.49,-418.60,2742.67,2729.60,0.800,9.3,fast_decay_h256_lr5e4
21,train,1500,4270,56,43,16,11.57,-401.00,2846.67,2728.27,0.800,9.8,fast_decay_h256_lr5e4
22,train,1500,4254,53,43,16,11.51,-402.60,2836.00,2753.87,0.800,10.3,fast_decay_h256_lr5e4
23,train,1500,4164,54,42,14,11.47,-395.60,2776.00,2796.40,0.800,10.7,fast_decay_h256_lr5e4
24,train,1500,3817,50,42,15,11.54,-428.30,2544.67,2749.20,0.800,11.1,fast_decay_h256_lr5e4
25,train,1500,3817,51,44,14,11.56,-470.30,2544.67,2709.60,0.800,11.6,fast_decay_h256_lr5e4
episode,phase,steps,pickup_amount,pickup_events,overflows,dumps,km,reward,metric,ma,epsilon_avg,elapsed_sec,run
1,train,1500,4451,56,47,16,11.61,-462.90,2967.33,,0.800,0.4,larger_h384_lr3e4
2,train,1500,4195,58,42,18,11.47,-384.50,2796.67,,0.800,0.9,larger_h384_lr3e4
3,train,1500,3776,52,42,16,11.53,-430.40,2517.33,,0.800,1.5,larger_h384_lr3e4
4,train,1500,4404,55,46,17,11.50,-445.60,2936.00,,0.800,1.9,larger_h384_lr3e4
5,train,1500,4055,54,44,13,11.54,-448.50,2703.33,2784.13,0.800,2.4,larger_h384_lr3e4
6,train,1500,3932,54,42,15,11.45,-416.80,2621.33,2714.93,0.800,2.8,larger_h384_lr3e4
7,train,1500,4513,57,47,16,11.59,-456.70,3008.67,2757.33,0.800,3.3,larger_h384_lr3e4
8,train,1500,4221,55,43,16,11.56,-405.90,2814.00,2816.67,0.800,3.7,larger_h384_lr3e4
9,train,1500,4248,56,46,14,11.39,-467.20,2832.00,2795.87,0.800,4.2,larger_h384_lr3e4
10,train,1500,4142,58,44,13,11.46,-439.80,2761.33,2807.47,0.800,4.7,larger_h384_lr3e4
11,train,1500,3853,51,39,16,11.48,-362.70,2568.67,2796.93,0.800,5.2,larger_h384_lr3e4
12,train,1500,4277,57,41,14,11.53,-364.30,2851.33,2765.47,0.800,5.6,larger_h384_lr3e4
13,train,1500,4337,51,45,16,11.54,-434.30,2891.33,2780.93,0.800,6.1,larger_h384_lr3e4
14,train,1500,4180,55,44,16,11.60,-430.00,2786.67,2771.87,0.800,6.6,larger_h384_lr3e4
15,train,1500,4154,54,42,14,11.57,-396.60,2769.33,2773.47,0.800,7.0,larger_h384_lr3e4
